,Concentration,Mean ARI,Mean height ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev,MaxIters,Num seeds,Mean nasal splits,Stdev nasal splits,Samples,MaxCats
0,1.6e-07,0.3039398355225195,0.7472544922173628,0.030202437106646593,0.95,2.85,0.7921489758877429,1000,20,0.2,0.4301162633521314,250,6
1,0.16666666666666666,0.2680530927756797,0.6123049781773225,0.05164060902273585,1.0,4.1,1.2609520212918492,1000,20,0.6,0.9300537618869136,250,6
2,1.0,0.2690130338787545,0.6210409648769163,0.05134813220723658,1.0,4.0,1.2649110640673518,1000,20,0.575,0.9051933495115836,250,6
3,10.0,0.26551734906379304,0.6080794148263262,0.05182150801466317,1.0,4.3,1.1,1000,20,0.675,0.9324028099485758,250,6
4,100.0,0.2572257950010127,0.5662277926897187,0.054489246812571605,1.0,4.45,1.2031209415515964,1000,20,0.775,0.9614442261514706,250,6
5,1000.0,0.2412723010719953,0.4993118534524806,0.05125925252818971,1.0,4.8,1.0295630140987,1000,20,0.9,0.9823441352194252,250,6
6,10000.0,0.24234328747216904,0.5012149479125885,0.04509712220389126,1.0,4.95,0.804673846971554,1000,20,0.975,0.9483538369195328,250,6
7,100000.0,0.24064568926279195,0.493173467646624,0.042243261739216414,1.0,5.0,0.8366600265340756,1000,20,0.9,0.9300537618869138,250,6
0,1.6e-07,0.3053606832651021,0.7535263293519434,0.029090927472665763,1.0,2.8,0.7483314773547883,3000,20,0.175,0.41155194082885815,250,6
1,0.16666666666666666,0.2680530927756797,0.6123049781773225,0.05164060902273585,1.0,4.1,1.2609520212918492,3000,20,0.6,0.9300537618869136,250,6
2,1.0,0.2690130338787545,0.6210409648769163,0.05134813220723658,1.0,4.0,1.2649110640673518,3000,20,0.575,0.9051933495115836,250,6
3,10.0,0.26551734906379304,0.6080794148263262,0.05182150801466317,1.0,4.3,1.1,3000,20,0.675,0.9324028099485758,250,6
4,100.0,0.2572257950010127,0.5662277926897187,0.054489246812571605,1.0,4.45,1.2031209415515964,3000,20,0.775,0.9614442261514706,250,6
5,1000.0,0.2412723010719953,0.4993118534524806,0.05125925252818971,1.0,4.8,1.0295630140987,3000,20,0.9,0.9823441352194252,250,6
6,10000.0,0.24234328747216904,0.5012149479125885,0.04509712220389126,1.0,4.95,0.804673846971554,3000,20,0.975,0.9483538369195328,250,6
7,100000.0,0.24064568926279195,0.493173467646624,0.042243261739216414,1.0,5.0,0.8366600265340756,3000,20,0.9,0.9300537618869138,250,6
0,1.6e-07,0.26572931540297395,0.5900884810985756,0.036522789494389536,1.0,4.35,0.7921489758877431,1000,20,0.825,1.0341058939973218,300,6
1,0.16666666666666666,0.2656276821161297,0.5897892924308714,0.03647117214969214,1.0,4.35,0.7921489758877431,1000,20,0.825,1.0341058939973218,300,6
2,1.0,0.2656266506103792,0.5898104728489852,0.036471839398413926,1.0,4.35,0.7921489758877431,1000,20,0.825,1.0341058939973218,300,6
3,10.0,0.2709342133342478,0.6058046595697428,0.0317035453904004,1.0,4.25,0.82915619758885,1000,20,0.75,0.9013878188659972,300,6
4,100.0,0.2573316182319899,0.5507671183812887,0.03283869688668413,1.0,4.75,0.9937303457175896,1000,20,1.05,1.16081867662439,300,6
5,1000.0,0.24022919185616085,0.4947013697455221,0.03997753402297539,1.0,4.95,0.9205976319760985,1000,20,1.1,1.1022703842524302,300,6
6,10000.0,0.23395041803146935,0.4800775216333041,0.04245387139516618,1.0,5.0,0.9486832980505138,1000,20,1.075,1.0697546447667334,300,6
7,100000.0,0.2335464752567241,0.4804258212712878,0.043200336181425714,1.0,5.0,0.9486832980505138,1000,20,1.05,1.035615758860399,300,6
0,1.6e-07,0.26572931540297395,0.5900884810985756,0.036522789494389536,1.0,4.35,0.7921489758877431,3000,20,0.825,1.0341058939973218,300,6
1,0.16666666666666666,0.2656276821161297,0.5897892924308714,0.03647117214969214,1.0,4.35,0.7921489758877431,3000,20,0.825,1.0341058939973218,300,6
2,1.0,0.2656266506103792,0.5898104728489852,0.036471839398413926,1.0,4.35,0.7921489758877431,3000,20,0.825,1.0341058939973218,300,6
3,10.0,0.2709342133342478,0.6058046595697428,0.0317035453904004,1.0,4.25,0.82915619758885,3000,20,0.75,0.9013878188659972,300,6
