,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
0,1.6e-07,0,250,1000,6,True,0.5348334603248921,4,4,[3.90205209 1.05226801] [4.02269919 4.06808067] [0.94216842 0.83307744] [1.01165947 3.84842879],[0.24716673 0.28656229 0.00107088 0.184517   0.00106426 0.27961885],[[1.67000873 0.33660582]  [0.33660582 1.36315093]] [[1.74105234 0.50978055]  [0.50978055 1.76760039]] [[1.49306559 0.43437919]  [0.43437919 1.06486086]] [[1.36124802 0.3672275 ]  [0.3672275  1.74065481]],6,"{0: 244, 1: 278, 2: 0, 3: 192, 4: 0, 5: 286}",2,1,1
1,1.6e-07,1,250,1000,6,True,0.6376029243741538,4,4,[1.07365929 1.04867858] [4.00452454 1.22416869] [1.11125347 4.00706846] [4.08459516 4.2285344 ],[2.27010331e-01 2.96022061e-01 2.72261147e-01 2.04706462e-01 1.58529569e-10 2.53647274e-17],[[1.09033601 0.58597591]  [0.58597591 1.33137975]] [[1.24751843 0.56776452]  [0.56776452 1.66568536]] [[1.26186847 0.60652354]  [0.60652354 1.70314296]] [[1.13769639 0.52917414]  [0.52917414 1.05310699]],4,"{0: 230, 1: 290, 2: 264, 3: 216, 4: 0, 5: 0}",2,1,1
2,1.6e-07,2,250,1000,6,True,0.4689429885467177,5,5,[0.64855773 2.63711065] [3.90848279 3.75634995] [1.03520878 3.88540758] [3.80827909 0.70270063] [0.70196123 0.40106216],[8.13799223e-02 3.24283693e-01 1.93870061e-01 2.49282605e-01 1.51183719e-01 1.57964962e-10],[[ 1.57293231 -0.00161468]  [-0.00161468  0.50574004]] [[1.77099751 0.32676947]  [0.32676947 1.59875943]] [[1.11405189 0.13603299]  [0.13603299 1.81420111]] [[1.91354419 0.46092999]  [0.46092999 1.122734  ]] [[1.26000794 0.41743941]  [0.41743941 0.93244882]],5,"{0: 68, 1: 322, 2: 190, 3: 252, 4: 168, 5: 0}",2,1,1
3,1.6e-07,3,250,1000,6,True,0.5274381597941868,4,4,[3.66322593 4.10771277] [0.47528402 0.89110299] [3.50699343 1.16273776] [0.74923316 3.94699489],[2.65680980e-01 1.61038216e-01 3.40900244e-01 2.32380560e-01 1.58665690e-10 2.53865066e-17],[[1.90736133 0.68874007]  [0.68874007 1.41628865]] [[1.08692608 0.56641762]  [0.56641762 1.33181889]] [[2.1067454  0.63694204]  [0.63694204 1.70987319]] [[1.36211698 0.57921137]  [0.57921137 1.70408185]],4,"{0: 268, 1: 167, 2: 330, 3: 235, 4: 0, 5: 0}",2,1,1
4,1.6e-07,4,250,1000,6,True,0.5450489611039451,5,5,[0.89971828 0.99144576] [4.02080174 4.08853738] [0.275438   2.70814465] [3.87086386 0.97624382] [1.07039538 4.11870712],[0.23760587 0.25583437 0.00107109 0.05084168 0.26513986 0.18950713],[[1.47909664 0.62974911]  [0.62974911 1.66719925]] [[1.46212436 0.51979441]  [0.51979441 1.58413958]] [[ 2.06794222 -0.10999176]  [-0.10999176  1.15428193]] [[1.69539207 0.59582147]  [0.59582147 1.55953008]] [[0.85259981 0.33224034]  [0.33224034 1.49151108]],6,"{0: 260, 1: 246, 2: 0, 3: 21, 4: 266, 5: 207}",2,1,1
5,1.6e-07,5,250,1000,6,True,0.5397325689649602,4,4,[4.22776199 3.85651752] [1.27107276 0.92760635] [4.22899992 0.85824873] [1.2000516  3.90741212],[0.2490551  0.29224396 0.00107291 0.1727177  0.00106442 0.28384592],[[1.10262579 0.25933411]  [0.25933411 1.74120495]] [[1.74555551 0.30495329]  [0.30495329 1.35584545]] [[0.94819172 0.2355723 ]  [0.2355723  1.22764654]] [[1.42435317 0.26572847]  [0.26572847 1.44887996]],6,"{0: 252, 1: 296, 2: 0, 3: 173, 4: 0, 5: 279}",2,1,1
6,1.6e-07,6,250,1000,6,True,0.4976368756226695,4,4,[3.87427707 4.06945394] [3.78983877 1.07668678] [0.88136765 3.92232808] [0.79822741 0.96303427],[2.80344831e-01 2.75562822e-01 2.22425450e-01 2.21666897e-01 1.58548843e-10 2.53678111e-17],[[1.90532274 0.35509403]  [0.35509403 1.44896187]] [[1.95558038 0.3723828 ]  [0.3723828  1.36775483]] [[1.36324143 0.27044548]  [0.27044548 1.34918773]] [[1.79026133 0.44261376]  [0.44261376 1.46988345]],4,"{0: 277, 1: 274, 2: 226, 3: 223, 4: 0, 5: 0}",2,1,1
7,1.6e-07,7,250,1000,6,True,0.6139428139977076,4,4,[4.26087591 3.97010478] [1.26708646 3.90166742] [1.14526899 0.92463778] [4.12333076 0.9770855 ],[1.07510770e-03 2.44141480e-01 2.58903705e-01 2.39298724e-01 2.56580983e-01 1.58535115e-10],[[1.39777246 0.44288613]  [0.44288613 1.33001642]] [[1.38037274 0.34910711]  [0.34910711 1.28888423]] [[1.30652376 0.38247916]  [0.38247916 1.29406477]] [[1.3731967  0.39611072]  [0.39611072 1.34194968]],5,"{0: 0, 1: 241, 2: 259, 3: 244, 4: 256, 5: 0}",2,1,1
8,1.6e-07,8,250,1000,6,True,0.5019016231471581,5,5,[1.00273735 4.18303673] [3.82873418 1.12200099] [3.9798073  4.18368786] [0.83715285 0.69901984] [0.86656198 2.0996844 ],[2.20270668e-01 2.84536197e-01 2.42045435e-01 1.68873413e-01 8.42742874e-02 1.56844548e-10],[[1.2218684  0.25099515]  [0.25099515 1.35143361]] [[1.63108007 0.52358036]  [0.52358036 1.75712328]] [[1.48345807 0.39621967]  [0.39621967 1.60760175]] [[1.33483171 0.59996533]  [0.59996533 1.51272057]] [[1.69045555 0.17965496]  [0.17965496 0.44608395]],5,"{0: 218, 1: 295, 2: 232, 3: 158, 4: 97, 5: 0}",3,1,2
9,1.6e-07,9,250,1000,6,True,0.5118792936592137,4,4,[1.25933464 4.28218023] [3.94682255 1.51614029] [4.19529159 4.51404016] [0.92256675 1.1881704 ],[2.73541660e-01 3.36122243e-01 1.48142977e-01 2.42193120e-01 1.58562236e-10 2.53699540e-17],[[1.78685395 0.50302403]  [0.50302403 1.46473966]] [[1.58738695 0.54609529]  [0.54609529 2.20760908]] [[1.15553838 0.54302111]  [0.54302111 1.12609309]] [[1.16528137 0.36402876]  [0.36402876 1.59991701]],4,"{0: 277, 1: 323, 2: 153, 3: 247, 4: 0, 5: 0}",2,1,1
10,1.6e-07,10,250,1000,6,True,0.449260977103254,5,5,[3.73233404 0.94218484] [0.83204815 1.34213797] [4.46673192 3.57771588] [3.5332666  4.27142221] [0.94593034 4.16972113],[0.00107548 0.27134356 0.1985677  0.17636221 0.16044469 0.19220635],[[1.96441862 0.33333448]  [0.33333448 1.18742073]] [[1.04499364 0.37216387]  [0.37216387 1.6668748 ]] [[1.9093712  0.77114942]  [0.77114942 1.98409823]] [[1.03417706 0.30073279]  [0.30073279 1.44869209]] [[0.99592095 0.20714204]  [0.20714204 1.36828261]],6,"{0: 0, 1: 284, 2: 210, 3: 136, 4: 174, 5: 196}",4,3,1
11,1.6e-07,11,250,1000,6,True,0.504736386671722,4,4,[4.20091151 3.43980941] [0.94446634 0.69006744] [1.21381773 3.72918009] [3.89571185 0.5557473 ],[2.91579546e-01 2.26796021e-01 3.25987509e-01 1.06314887e-03 1.54573776e-01 1.57266294e-10],[[1.22452468 0.31458946]  [0.31458946 2.33770605]] [[1.32483721 0.16563312]  [0.16563312 1.03337127]] [[1.73773831 0.21713678]  [0.21713678 1.47777549]] [[1.01148597 0.11043279]  [0.11043279 0.99328328]],5,"{0: 289, 1: 241, 2: 309, 3: 0, 4: 161, 5: 0}",2,1,1
12,1.6e-07,12,250,1000,6,True,0.5329668525154257,4,4,[3.63656854 3.79657344] [0.64981003 1.02842083] [3.58767577 0.79170819] [0.70040018 4.03480765],[3.62062414e-01 2.00300893e-01 2.53174247e-01 1.84462445e-01 1.58372902e-10 2.53396606e-17],[[1.91067424 0.18283022]  [0.18283022 1.89506716]] [[1.04652955 0.16411551]  [0.16411551 1.22144666]] [[1.74719659 0.16157179]  [0.16157179 1.07930087]] [[1.02602535 0.09425567]  [0.09425567 1.05535432]],4,"{0: 346, 1: 210, 2: 251, 3: 193, 4: 0, 5: 0}",2,1,1
13,1.6e-07,13,250,1000,6,True,0.4240642542942957,4,4,[1.18728412 3.65267022] [3.69967897 1.1554007 ] [4.34724936 4.39592504] [0.83201866 0.7767096 ],[3.56574111e-01 3.56854155e-01 1.33663881e-01 1.52907853e-01 1.58011625e-10 2.52818562e-17],[[1.98598494 0.80126151]  [0.80126151 2.18430606]] [[2.03589071 0.85041028]  [0.85041028 2.37329256]] [[1.07202961 0.57292045]  [0.57292045 1.08215809]] [[1.57240903 0.94082042]  [0.94082042 1.20756574]],4,"{0: 356, 1: 352, 2: 139, 3: 153, 4: 0, 5: 0}",2,1,1
