,Concentration,Mean ARI,Mean height ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev,MaxIters,Num seeds,Mean nasal splits,Stdev nasal splits,Samples,MaxCats
7,100000,0.098482832,0.380522009,0.041913566,1,5,1,1000,20,1.9,1.959591794,400,6
7,100000,0.098482832,0.380522009,0.041913566,1,5,1,3000,20,1.9,1.959591794,400,6
6,10000,0.098682904,0.38029776,0.042562544,1,5.05,0.920597632,1000,20,1.925,1.902465506,400,6
6,10000,0.098682904,0.38029776,0.042562544,1,5.05,0.920597632,3000,20,1.925,1.902465506,400,6
6,10000,0.105727626,0.364763363,0.02569822,1,4.9,0.830662386,3000,20,1.55,1.767059705,450,6
7,100000,0.104563714,0.362283863,0.026999061,1,4.9,0.830662386,3000,20,1.55,1.767059705,450,6
0,1.60E-07,0.150570494,0.35222606,0.060021956,1,2.55,0.920597632,1000,20,0.4,0.815475322,250,6
0,1.60E-07,0.150570494,0.35222606,0.060021956,1,2.55,0.920597632,3000,20,0.4,0.815475322,250,6
7,100000,0.10256087,0.347181528,0.039868641,1,4.3,0.953939201,3000,20,1.125,1.381801361,350,6
0,1.60E-07,0.071866689,0.257168128,0.047006158,1,3.85,1.351850583,3000,20,1.05,1.430908802,500,6
6,10000,0.091239286,0.33424713,0.044907795,1,4.65,0.90967027,3000,20,1.325,1.421047149,300,6
6,10000,0.097410806,0.334083427,0.04502038,1,4.25,0.993730346,3000,20,1.075,1.348842096,350,6
1,0.166666667,0.071781712,0.256926995,0.046909025,1,3.85,1.351850583,3000,20,1.05,1.430908802,500,6
5,1000,0.096176277,0.333414921,0.037560794,1,4.9,0.943398113,3000,20,1.475,1.767590167,450,6
5,1000,0.087867919,0.332022852,0.053178133,1,4.45,0.804673847,3000,20,1.225,1.359917277,300,6
5,1000,0.085849226,0.330076519,0.046639626,1,4.7,1.053565375,3000,20,1.5,1.74642492,400,6
2,1,0.071665894,0.256240661,0.04704486,1,3.85,1.351850583,3000,20,1.05,1.430908802,500,6
7,100000,0.093128175,0.321510043,0.038974527,1,4.6,1.113552873,3000,20,1.325,1.5311352,300,6
1,0.166666667,0.070625517,0.250230828,0.060867991,1,3.55,1.359227722,3000,20,0.95,1.456880228,250,6
0,1.60E-07,0.081215856,0.300267109,0.048085051,1,3.9,1.135781669,3000,20,0.875,1.278426768,400,6
1,0.166666667,0.081176747,0.299908298,0.048080656,1,3.9,1.135781669,3000,20,0.875,1.278426768,400,6
2,1,0.080758495,0.297253868,0.0483387,1,3.9,1.135781669,3000,20,0.875,1.278426768,400,6
3,10,0.07911954,0.29634229,0.052730196,1,3.9,1.178982612,3000,20,0.875,1.278426768,400,6
4,100,0.074313037,0.293914675,0.053702198,1,3.95,1.160818677,3000,20,0.95,1.293251716,400,6
2,1,0.06840394,0.244269219,0.060564396,1,3.6,1.428285686,3000,20,0.95,1.456880228,250,6
5,1000,0.085677349,0.288863092,0.042260884,1,4.05,1.395528574,3000,20,1.125,1.435052264,350,6
2,1,0.074283974,0.286309839,0.056907572,1,3.45,1.283549765,1000,20,0.85,1.285496013,300,6
2,1,0.074283974,0.286309839,0.056907572,1,3.45,1.283549765,3000,20,0.85,1.285496013,300,6
0,1.60E-07,0.073613698,0.285714715,0.056336155,1,3.4,1.240967365,1000,20,0.85,1.285496013,300,6
0,1.60E-07,0.073613698,0.285714715,0.056336155,1,3.4,1.240967365,3000,20,0.85,1.285496013,300,6
1,0.166666667,0.07357597,0.28558766,0.05628607,1,3.4,1.240967365,1000,20,0.85,1.285496013,300,6
1,0.166666667,0.07357597,0.28558766,0.05628607,1,3.4,1.240967365,3000,20,0.85,1.285496013,300,6
3,10,0.071253531,0.258011763,0.059095922,1,3.8,1.288409873,3000,20,1.025,1.508103113,250,6
4,100,0.079647047,0.276363939,0.054450967,1,4.2,1.326649916,3000,20,1.2,1.568438714,250,6
4,100,0.077077765,0.275439138,0.054924158,1,3.75,1.299038106,3000,20,1,1.387443693,350,6
4,100,0.080332546,0.273053069,0.042485175,1,4.4,1.2,3000,20,1.275,1.71737445,450,6
3,10,0.077604664,0.269570132,0.046240042,1,4,1.341640786,3000,20,1.125,1.560248378,450,6
3,10,0.073127978,0.2684586,0.05644159,1,3.65,1.423903087,3000,20,0.95,1.321930407,350,6
4,100,0.070723216,0.266596446,0.057813138,1,3.75,1.134680572,3000,20,1.05,1.377497731,300,6
2,1,0.074933804,0.261661673,0.048518604,1,4,1.341640786,3000,20,1.125,1.560248378,450,6
0,1.60E-07,0.075083299,0.261553372,0.048520284,1,4,1.341640786,3000,20,1.125,1.560248378,450,6
1,0.166666667,0.075039625,0.261454517,0.048582306,1,4,1.341640786,3000,20,1.125,1.560248378,450,6
