Concentration,Mean ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev,MaxIters,Samples,MaxCats
1e-13,0.7672400340493143,0.03378117429228921,0.9,4.2,0.39999999999999997,100,100,6
0.016666666666666635,0.7331940191136741,0.04442981141832299,0.9,4.3,0.45825756949558405,100,100,6
0.06666666666666665,0.7635168892034367,0.03513824720211633,0.9,4.1,0.3,100,100,6
0.11666666666666665,0.7712455919415795,0.03198404718072966,1.0,4.2,0.39999999999999997,100,100,6
0.16666666666666666,0.757001964795686,0.02209230334934631,0.8,4.0,0.0,100,100,6
0.21666666666666667,0.7821362812225001,0.03414579872438739,1.0,4.1,0.3,100,100,6
0.26666666666666666,0.775345435271842,0.04815200445444307,0.9,4.3,0.45825756949558405,100,100,6
0.31666666666666665,0.7715849673187869,0.03152402883922272,0.9,4.1,0.3,100,100,6
0.3666666666666667,0.7757941482758499,0.038131380072172705,0.9,4.1,0.3,100,100,6
0.41666666666666663,0.7773006235933363,0.039224245134631804,0.8,4.1,0.3,100,100,6
0.4666666666666667,0.7833198998032259,0.03311545263422787,0.9,4.1,0.3,100,100,6
0.5166666666666667,0.7812517682376611,0.0235679538367523,1.0,4.0,0.0,100,100,6
0.5666666666666667,0.7580308370433949,0.036405249024742174,1.0,4.1,0.3,100,100,6
0.6166666666666667,0.7720517600413672,0.034712263549846425,1.0,4.0,0.0,100,100,6
0.6666666666666666,0.7656998216609485,0.026150443349229682,0.9,4.1,0.3,100,100,6
0.7166666666666667,0.7834902109418124,0.03501487967022492,0.8,4.1,0.3,100,100,6
0.7666666666666667,0.7826745565389099,0.03396811663501263,0.9,4.0,0.0,100,100,6
0.8166666666666667,0.7789308718868309,0.026886352456761017,0.7,4.2,0.39999999999999997,100,100,6
0.8666666666666667,0.7678233691279897,0.034242278112275905,0.9,4.1,0.3,100,100,6
0.9166666666666666,0.7690808369487574,0.02187653097992182,0.9,4.0,0.0,100,100,6
0.9666666666666667,0.7800328633953608,0.040400737087529365,1.0,4.1,0.3,100,100,6
1.0166666666666668,0.781323293842598,0.025300204087951552,1.0,4.1,0.3,100,100,6
1.0666666666666667,0.7867635187183112,0.029925792220002675,1.0,4.1,0.3,100,100,6
1.1166666666666667,0.7660616187958148,0.07112845768520433,1.0,4.1,0.3,100,100,6
1.1666666666666667,0.7711582051178063,0.03625047899650038,0.9,4.1,0.3,100,100,6
1.2166666666666668,0.7564399848425866,0.04578580918235783,0.8,4.2,0.39999999999999997,100,100,6
1.2666666666666668,0.773655595444307,0.059372935838604236,0.8,4.3,0.45825756949558405,100,100,6
1.3166666666666669,0.7665626794670806,0.06550923644816076,1.0,4.1,0.3,100,100,6
1.366666666666667,0.7526623357297636,0.04090820865998154,0.9,4.1,0.3,100,100,6
1.4166666666666667,0.7683729493994751,0.04057498860737031,0.9,4.2,0.39999999999999997,100,100,6
1.4666666666666668,0.7787568545967501,0.030370729987698564,0.9,4.0,0.0,100,100,6
1.5166666666666668,0.8038112036315971,0.04300674538700129,1.0,4.0,0.0,100,100,6
1.5666666666666669,0.7653333388258666,0.03815173945313169,0.9,4.1,0.3,100,100,6
1.616666666666667,0.7770247087883317,0.019715353857971324,0.9,4.0,0.0,100,100,6
