,Name,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits,RandomGroup
0,base,1.6e-07,1,300,3000,6,True,0.4959993370518449,0.9867415760112648,3,3,[ 1.18385254 -0.00719488] [-0.15218752  3.85157275] [1.19829607 4.9989289 ],[4.96551415e-01 1.37706605e-02 4.89677924e-01 1.32776931e-10 2.12443062e-17 3.39908850e-24],[[ 0.7215601  -0.03318732]  [-0.03318732  0.6673917 ]] [[ 0.72397105 -0.49974467]  [-0.49974467  4.37641195]] [[ 0.69740939 -0.05192941]  [-0.05192941  0.65953457]],3,"{0: 597, 1: 8, 2: 595, 3: 0, 4: 0, 5: 0}",0,0,0,6
1,contextless,1.6e-07,1,300,3000,6,True,0.4947078920325052,0.9817372745917554,3,3,[ 2.38397337 -0.01477058] [1.19991799 5.00264038] [0.07924331 3.35273085],[4.93302668e-01 4.89230834e-01 1.74664974e-02 1.26961337e-10 2.03138112e-17 3.25020932e-24],[[ 0.71662515 -0.04909019]  [-0.04909019  0.64945725]] [[ 0.69775217 -0.05774758]  [-0.05774758  0.65636518]] [[ 0.87935721 -0.81087161]  [-0.81087161  4.69192898]],3,"{0: 594, 1: 595, 2: 11, 3: 0, 4: 0, 5: 0}",0,0,0,6
2,context,1.6e-07,1,300,3000,6,True,0.5571426444477513,0.7390291561721718,4,4,[2.55672084 0.00415315] [-0.04151788  3.77582152] [ 0.89050375 -0.01342465] [1.1990714  5.00116621],[2.64825573e-01 1.51340712e-02 8.89195170e-04 2.31305274e-01 4.87845887e-01 1.32539250e-10],[[ 0.72345749 -0.08819725]  [-0.08819725  0.66198484]] [[ 0.86228307 -0.62271677]  [-0.62271677  4.26103348]] [[ 0.6438971  -0.02059847]  [-0.02059847  0.71346325]] [[ 0.6977888  -0.05432238]  [-0.05432238  0.656372  ]],4,"{0: 316, 1: 9, 2: 0, 3: 280, 4: 595, 5: 0}",1,0,1,6
3,base,1.6e-07,2,300,3000,6,True,0.4215750608258946,0.741130289731786,3,3,[ 1.23810592 -0.10393851] [0.644305   4.93642685] [1.66883163 4.84131771],[4.95513103e-01 2.18083445e-01 2.86403451e-01 1.32617867e-10 2.12188560e-17 3.39501646e-24],[[0.73517843 0.0462374 ]  [0.0462374  0.72336291]] [[0.38770214 0.09488066]  [0.09488066 1.20420695]] [[0.53278587 0.04934415]  [0.04934415 0.5790113 ]],3,"{0: 594, 1: 274, 2: 332, 3: 0, 4: 0, 5: 0}",1,1,0,1
4,contextless,1.6e-07,2,300,3000,6,True,0.4138213846745357,0.7175891360629996,4,4,[0.64506354 4.91927178] [1.63950308 4.87412389] [1.67618383 1.23438998] [ 2.45984862 -0.15891565],[8.89979889e-04 2.08155698e-01 2.94686997e-01 2.64547838e-02 4.69812541e-01 1.32515172e-10],[[0.40041911 0.07811028]  [0.07811028 1.20088217]] [[0.55644533 0.02426483]  [0.02426483 0.56825285]] [[ 0.19600117 -0.17981979]  [-0.17981979  1.30729619]] [[0.74405031 0.05940428]  [0.05940428 0.653225  ]],4,"{0: 0, 1: 256, 2: 348, 3: 18, 4: 578, 5: 0}",1,1,0,1
5,context,1.6e-07,2,300,3000,6,True,0.42080202757354707,0.7411306024953296,3,3,[ 1.83230869 -0.10821277] [0.7362185  4.90651485] [1.81307265 4.8457347 ],[0.49462498 0.27504883 0.00089498 0.0008914  0.00088787 0.22765194],[[1.09063991 0.03159907]  [0.03159907 0.71395739]] [[0.41782181 0.06795657]  [0.06795657 1.11048287]] [[0.46707613 0.04160745]  [0.04160745 0.55714746]],3,"{0: 594, 1: 340, 2: 0, 3: 0, 4: 0, 5: 266}",1,1,0,1
6,base,1.6e-07,3,300,3000,6,True,0.4894085164971616,0.9933388889506688,2,2,[1.25035411 0.12336544] [1.25832927 5.11997009],[5.02701288e-01 8.99427216e-04 4.96399284e-01 1.32777272e-10 2.12443607e-17 3.39909721e-24],[[0.7766711  0.01556035]  [0.01556035 0.74192706]] [[0.75265999 0.00639733]  [0.00639733 0.68889461]],2,"{0: 602, 1: 0, 2: 598, 3: 0, 4: 0, 5: 0}",0,0,0,2
7,contextless,1.6e-07,3,300,3000,6,True,0.4866156655260924,0.9571741195673316,3,3,[0.9689279  1.96796859] [1.27082498 5.14109711] [2.48921024 0.10810088],[4.04427366e-02 8.90896995e-04 4.82103864e-01 8.88373057e-04 4.75674129e-01 1.32528655e-10],[[ 0.52320652 -0.37942499]  [-0.37942499  6.20621809]] [[ 7.56266740e-01 -1.41773272e-04]  [-1.41773272e-04  6.32568048e-01]] [[ 0.73474548 -0.01991834]  [-0.01991834  0.63287779]],3,"{0: 22, 1: 0, 2: 590, 3: 0, 4: 588, 5: 0}",0,0,0,2
8,context,1.6e-07,3,300,3000,6,True,0.4897750786720366,0.9883763045673422,3,3,[0.8140958  0.97187809] [1.26016922 5.13240686] [1.87877844 0.12296478],[2.53822685e-02 4.92560125e-01 8.94260254e-04 4.81163347e-01 1.32650301e-10 2.12240451e-17],[[0.58030063 0.39960218]  [0.39960218 4.83277886]] [[0.75461882 0.00291812]  [0.00291812 0.66837256]] [[ 1.11227644 -0.02895826]  [-0.02895826  0.65850174]],3,"{0: 7, 1: 598, 2: 0, 3: 595, 4: 0, 5: 0}",1,0,1,2
9,base,1.6e-07,4,300,3000,6,True,0.35526633110801537,0.5541069348373414,6,6,[-0.24827461  0.04388758] [2.33158517 4.85817473] [ 2.13939676 -0.0780139 ] [0.92628017 0.08011811] [1.03242247 5.07768694] [-0.5363959   4.08957341],[0.03543027 0.11370562 0.17422541 0.29147933 0.36632314 0.01883622],[[0.55772711 0.21869965]  [0.21869965 1.82379254]] [[0.28250875 0.14516804]  [0.14516804 1.00477613]] [[0.33321143 0.06128975]  [0.06128975 0.89410921]] [[ 0.28826693 -0.00354976]  [-0.00354976  0.57690916]] [[ 0.41413928 -0.04502454]  [-0.04502454  0.60313859]] [[ 0.52444775 -0.48651048]  [-0.48651048  1.68038316]],6,"{0: 26, 1: 130, 2: 198, 3: 376, 4: 448, 5: 22}",6,3,3,1
10,contextless,1.6e-07,4,300,3000,6,True,0.3546545354707975,0.5527715856270682,6,6,[ 0.7622749  -0.08145882] [2.38950274 4.9272557 ] [1.93909708 0.07095942] [1.07027895 5.0588682 ] [ 2.97548176 -0.01989408] [-0.33931345  3.68849213],[0.03061889 0.09855553 0.19122433 0.38175519 0.27545086 0.02239519],[[0.43458258 0.01672489]  [0.01672489 1.92213852]] [[0.26522371 0.10151431]  [0.10151431 1.04903183]] [[ 0.21018196 -0.05806306]  [-0.05806306  0.64174047]] [[ 0.44676212 -0.07640556]  [-0.07640556  0.60778351]] [[ 0.49834788 -0.06084501]  [-0.06084501  0.71075983]] [[ 0.729728   -0.78717544]  [-0.78717544  1.89718382]],6,"{0: 26, 1: 108, 2: 262, 3: 470, 4: 310, 5: 24}",4,1,3,1
11,context,1.6e-07,4,300,3000,6,True,0.4960389968041097,0.9933388889506688,2,2,[1.84792572 0.01666351] [1.26458349 5.00675328],[5.01869063e-01 4.98130936e-01 1.32999988e-10 2.12799955e-17 3.40479883e-24 5.44767733e-31],[[ 1.16372293 -0.04096823]  [-0.04096823  0.74054007]] [[ 0.81522378 -0.00542516]  [-0.00542516  0.70853523]],2,"{0: 602, 1: 598, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,1
12,base,1.6e-07,5,300,3000,6,True,0.4960389968041097,1.0,2,2,[1.21584101 4.97687821] [ 1.21775614 -0.01355686],[8.95961328e-04 4.98918661e-01 5.00185378e-01 1.32890333e-10 2.12624504e-17 3.40199157e-24],[[ 0.70132999 -0.02242314]  [-0.02242314  0.74048615]] [[ 0.69812984 -0.02255314]  [-0.02255314  0.76366071]],2,"{0: 0, 1: 598, 2: 602, 3: 0, 4: 0, 5: 0}",0,0,0,5
13,contextless,1.6e-07,5,300,3000,6,True,0.4960389968041097,0.9867000187944966,2,2,[ 2.41095589 -0.0203216 ] [1.21541953 4.96993831],[5.00092426e-01 4.99907574e-01 1.33000776e-10 2.12801217e-17 3.40481902e-24 5.44770964e-31],[[ 0.70233413 -0.03973073]  [-0.03973073  0.74867667]] [[ 0.70170644 -0.02373651]  [-0.02373651  0.75588863]],2,"{0: 598, 1: 602, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,5
14,context,1.6e-07,5,300,3000,6,True,0.4960389968041097,1.0,2,2,[ 1.81296446 -0.01574017] [1.21590971 4.97466703],[5.01026017e-01 4.98973983e-01 1.33000363e-10 2.12800555e-17 3.40480843e-24 5.44769269e-31],[[ 1.05578677 -0.03448395]  [-0.03448395  0.75862625]] [[ 0.70161131 -0.02384013]  [-0.02384013  0.74520685]],2,"{0: 602, 1: 598, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,5
15,base,1.6e-07,6,300,3000,6,True,0.4927099932746571,0.9933388891944936,2,2,[1.24849834 0.00944879] [1.23672444 5.00187071],[5.04080908e-01 8.91519803e-04 4.95027572e-01 1.32776040e-10 2.12441636e-17 3.39906568e-24],[[0.76340424 0.08980236]  [0.08980236 0.81616439]] [[0.75347655 0.09104471]  [0.09104471 0.73442748]],2,"{0: 604, 1: 0, 2: 596, 3: 0, 4: 0, 5: 0}",0,0,0,1
16,contextless,1.6e-07,6,300,3000,6,True,0.4927099932746571,0.9933388891944936,2,2,[2.43145488 0.00411439] [1.23574051 4.99597261],[8.93589470e-04 8.91173328e-04 5.02086433e-01 4.96128804e-01 1.32778050e-10 2.12444849e-17],[[0.76802132 0.05159067]  [0.05159067 0.80504645]] [[0.75231216 0.09102583]  [0.09102583 0.74871815]],2,"{0: 0, 1: 0, 2: 604, 3: 596, 4: 0, 5: 0}",0,0,0,1
17,context,1.6e-07,6,300,3000,6,True,0.4927099932746571,0.9933388891944936,2,2,[1.83879827 0.00838267] [1.23632057 5.00076033],[5.03893599e-01 4.96106401e-01 1.32999082e-10 2.12798506e-17 3.40477565e-24 5.44764024e-31],[[1.1153688  0.06812246]  [0.06812246 0.81356969]] [[0.75251708 0.09070438]  [0.09070438 0.73683376]],2,"{0: 604, 1: 596, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,1
18,base,1.6e-07,7,300,3000,6,True,0.4993736951983298,1.0,2,2,[1.19165088 4.82255974] [ 1.19308367 -0.16812994],[5.00173821e-01 4.99826179e-01 1.33000740e-10 2.12801160e-17 3.40481810e-24 5.44770817e-31],[[0.62327365 0.0169545 ]  [0.0169545  0.66051223]] [[0.62457896 0.01744003]  [0.01744003 0.66591607]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,2
19,contextless,1.6e-07,7,300,3000,6,True,0.4993736951983298,1.0,2,2,[1.19169171 4.82389245] [ 2.38376847 -0.16654329],[4.99881070e-01 5.00118929e-01 1.33000870e-10 2.12801367e-17 3.40482142e-24 5.44771347e-31],[[0.62358017 0.01409883]  [0.01409883 0.65788704]] [[ 0.62724067 -0.00572023]  [-0.00572023  0.66980766]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,2
20,context,1.6e-07,7,300,3000,6,True,0.4993736951983298,1.0,2,2,[1.19158312 4.82339508] [ 1.78864375 -0.16713454],[4.99990240e-01 5.00009760e-01 1.33000822e-10 2.12801289e-17 3.40482018e-24 5.44771149e-31],[[0.62338739 0.01573748]  [0.01573748 0.65886853]] [[0.97968919 0.00643695]  [0.00643695 0.66835793]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,2
21,base,1.6e-07,8,300,3000,6,True,0.4286013173739332,0.7529542187548949,3,3,[1.217477   0.04216581] [0.92171057 5.04188121] [1.55331054 5.01164783],[8.92718899e-04 4.99668636e-01 2.65442862e-01 2.33995783e-01 1.32419979e-10 2.11871936e-17],[[ 0.77861941 -0.04760357]  [-0.04760357  0.7577991 ]] [[ 0.68022143 -0.01703905]  [-0.01703905  0.8367732 ]] [[ 0.67508579 -0.07141939]  [-0.07141939  0.72360464]],3,"{0: 0, 1: 600, 2: 334, 3: 266, 4: 0, 5: 0}",0,0,0,1
22,contextless,1.6e-07,8,300,3000,6,True,0.4993736951983298,1.0,2,2,[1.2179779  5.02879346] [2.39581012 0.03927027],[8.90518891e-04 8.91663572e-04 5.00419530e-01 4.97798287e-01 1.32778796e-10 2.12446042e-17],[[ 0.77901881 -0.04923706]  [-0.04923706  0.7717493 ]] [[ 0.80427111 -0.09416629]  [-0.09416629  0.75169627]],2,"{0: 0, 1: 0, 2: 600, 3: 600, 4: 0, 5: 0}",0,0,0,1
23,context,1.6e-07,8,300,3000,6,True,0.4993736951983298,1.0,2,2,[1.80570829 0.04173372] [1.21837882 5.03181641],[8.92331157e-04 4.99564710e-01 8.89909949e-04 8.89034447e-04 4.97764014e-01 1.32448436e-10],[[ 1.13824133 -0.07295539]  [-0.07295539  0.75670589]] [[ 0.77873746 -0.04917561]  [-0.04917561  0.76440609]],2,"{0: 0, 1: 600, 2: 0, 3: 0, 4: 600, 5: 0}",0,0,0,1
24,base,1.6e-07,9,300,3000,6,True,0.4148353827914127,0.7255105674824992,4,4,[1.02926914 5.11354785] [ 2.14327088 -0.02362276] [0.98387231 0.10024042] [2.20434148 4.76352165],[4.14535099e-01 9.23401262e-02 4.08401228e-01 8.47235465e-02 1.31520630e-10 2.10432977e-17],[[ 0.58559593 -0.06923257]  [-0.06923257  0.7261838 ]] [[ 0.17403857 -0.16154829]  [-0.16154829  1.10304334]] [[ 0.60802494 -0.07879883]  [-0.07879883  0.83412606]] [[ 0.18438863 -0.05886395]  [-0.05886395  1.47098426]],4,"{0: 516, 1: 110, 2: 492, 3: 82, 4: 0, 5: 0}",2,1,1,1
25,contextless,1.6e-07,9,300,3000,6,True,0.4165792119587261,0.7173875835987397,5,5,[1.00519697 5.09694112] [ 3.31217461 -0.13437333] [0.56818367 1.83850136] [2.18965377 4.93049827] [2.2251443  0.04916371],[4.03946346e-01 9.36087173e-02 2.18236042e-02 9.36326101e-02 3.86988722e-01 1.32304354e-10],[[ 0.56896717 -0.0951933 ]  [-0.0951933   0.73172489]] [[ 0.21512864 -0.20461439]  [-0.20461439  1.03756776]] [[ 0.67827657 -0.22376861]  [-0.22376861  0.84194134]] [[ 0.17193306 -0.08069222]  [-0.08069222  1.28610227]] [[0.58408237 0.00146972]  [0.00146972 0.72584847]],5,"{0: 492, 1: 74, 2: 22, 3: 104, 4: 508, 5: 0}",2,1,1,1
26,context,1.6e-07,9,300,3000,6,True,0.4927099932746571,0.9933388891944936,2,2,[1.22415177 5.06953355] [1.78291296 0.07994934],[4.97666661e-01 5.02333339e-01 1.33001844e-10 2.12802926e-17 3.40484636e-24 5.44775339e-31],[[ 0.70786151 -0.1074457 ]  [-0.1074457   0.81739867]] [[ 1.11748847 -0.14826904]  [-0.14826904  0.87667932]],2,"{0: 596, 1: 604, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,1
27,base,1.6e-07,10,300,3000,6,True,0.4993736951983298,1.0,2,2,[ 1.116226   -0.02814427] [1.11653752 4.96079713],[5.00112515e-01 4.99887484e-01 1.33000768e-10 2.12801203e-17 3.40481880e-24 5.44770928e-31],[[ 0.68629241 -0.00659931]  [-0.00659931  0.81171547]] [[ 0.68573654 -0.00619517]  [-0.00619517  0.81830171]],2,"{0: 600, 1: 600, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0,4
28,contextless,1.6e-07,10,300,3000,6,True,0.4709857265958345,0.8929789754839648,4,4,[-0.12948296  3.77358992] [1.17732807 4.99857632] [ 2.27454455 -0.23044827] [2.3698602  0.64232147],[8.85037032e-04 2.27477317e-02 4.80084683e-01 3.83921802e-01 1.12360746e-01 1.31802214e-10],[[ 1.071733   -0.84793333]  [-0.84793333  1.32205418]] [[ 0.59013282 -0.04722973]  [-0.04722973  0.7880247 ]] [[0.7280292  0.03072465]  [0.03072465 0.69909697]] [[ 0.68651321 -0.41076317]  [-0.41076317  0.64292213]],4,"{0: 0, 1: 12, 2: 588, 3: 542, 4: 58, 5: 0}",0,0,0,4
