,Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
0,1.6e-07,0,250,1000,6,True,0.1568892543203992,0.7497052308944965,2,2,[2.01579267 3.08941154] [1.72094541 1.23803218],[1.07436531e-03 4.54323543e-01 5.44602091e-01 1.59388363e-10 2.55021348e-17 4.08034097e-24],[[ 2.51019421 -0.17411728]  [-0.17411728  1.57604034]] [[ 2.47648029 -0.0667351 ]  [-0.0667351   1.77711472]],3,"{0: 0, 1: 457, 2: 543, 3: 0, 4: 0, 5: 0}",0,0,0
1,1.6e-07,1,250,1000,6,True,0.23111845606790699,0.8425665691258826,2,2,[1.8323807  1.02558321] [2.00524002 2.9279494 ],[4.92356023e-01 5.07643977e-01 1.59526209e-10 2.55241904e-17 4.08386992e-24 6.53419092e-31],[[ 2.28275666 -0.20879642]  [-0.20879642  1.24142318]] [[ 2.2930925  -0.27483157]  [-0.27483157  1.33845119]],2,"{0: 509, 1: 491, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
2,1.6e-07,2,250,1000,6,True,0.158000134475199,0.8536296007099183,2,2,[1.99397013 0.92821872] [2.01641823 2.79698416],[4.99781318e-01 5.00218682e-01 1.59521558e-10 2.55234463e-17 4.08375086e-24 6.53400043e-31],[[2.55738789 0.24795124]  [0.24795124 1.5705045 ]] [[ 2.40521735 -0.10917371]  [-0.10917371  1.8324801 ]],2,"{0: 516, 1: 484, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
3,1.6e-07,3,250,1000,6,True,0.1296427210165346,0.012395430928559477,2,2,[3.23769599 2.38622017] [1.24850415 1.9414016 ],[3.88555292e-01 6.11444708e-01 1.59579416e-10 2.55327036e-17 4.08523203e-24 6.53637030e-31],[[ 1.42026609 -0.34056448]  [-0.34056448  2.21797202]] [[ 1.80898836 -0.10803682]  [-0.10803682  2.42927149]],2,"{0: 380, 1: 620, 2: 0, 3: 0, 4: 0, 5: 0}",1,0,0
4,1.6e-07,4,250,1000,6,True,0.0,0.0,1,1,[2.0303556  1.97869951],[1.00000000e+00 1.59840145e-10 2.55744206e-17 4.09190681e-24 6.54705003e-31 1.04752785e-37],[[ 2.67993194 -0.0414732 ]  [-0.0414732   2.3658621 ]],1,"{0: 1000, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
5,1.6e-07,5,250,1000,6,True,0.16047336284495511,0.5238434297920815,3,3,[2.15684984 2.08091803] [1.86265947 0.58600343] [2.05530556 3.45251008],[2.36468274e-01 3.94134615e-01 3.69397111e-01 1.59201297e-10 2.54722042e-17 4.07555208e-24],[[ 2.30287381 -0.25389115]  [-0.25389115  0.41293969]] [[ 2.19061212 -0.21118206]  [-0.21118206  0.96676149]] [[ 2.41311505 -0.09280375]  [-0.09280375  1.04593327]],3,"{0: 278, 1: 380, 2: 342, 3: 0, 4: 0, 5: 0}",0,0,0
6,1.6e-07,6,250,1000,6,True,0.1307363841766811,0.4407765495298195,3,3,[1.9397507  1.78698466] [1.93996134 3.47065459] [2.11268641 0.23202516],[3.35258542e-01 3.91195490e-01 1.07049142e-03 2.72475476e-01 1.58442475e-10 2.53507922e-17],[[2.70444391 0.34462365]  [0.34462365 0.57688845]] [[2.50187814 0.17459112]  [0.17459112 0.9744071 ]] [[2.45935253 0.32677264]  [0.32677264 0.94086877]],4,"{0: 371, 1: 379, 2: 0, 3: 250, 4: 0, 5: 0}",0,0,0
7,1.6e-07,7,250,1000,6,True,0.2312941968006857,0.3661434036191766,3,3,[1.33178324 0.92057917] [3.2655117  1.92952196] [1.24057814 3.00010117],[4.28306083e-01 3.09072143e-01 2.62621774e-01 1.58957704e-10 2.54332293e-17 4.06931609e-24],[[ 1.80718969 -0.0472414 ]  [-0.0472414   1.3474668 ]] [[ 1.06808002 -0.08283244]  [-0.08283244  2.29288239]] [[1.52058635 0.05315345]  [0.05315345 1.08264207]],3,"{0: 437, 1: 325, 2: 238, 3: 0, 4: 0, 5: 0}",0,0,0
8,1.6e-07,8,250,1000,6,True,0.13716518804313732,0.7671459060311955,2,2,[1.86391395 2.93856775] [2.13684421 0.87273846],[5.71835146e-01 4.28164854e-01 1.59468070e-10 2.55148881e-17 4.08238156e-24 6.53180954e-31],[[ 2.42225006e+00 -2.05817623e-03]  [-2.05817623e-03  1.59925104e+00]] [[2.64034772 0.07069535]  [0.07069535 1.34913055]],2,"{0: 572, 1: 428, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
9,1.6e-07,9,250,1000,6,True,0.17211135564867994,0.15568125567810925,5,5,[2.15045041 3.13194302] [3.58953243 3.10985817] [0.64618458 2.33334436] [2.74901631 1.48143182] [2.87710858 0.10162381],[0.13195509 0.00107373 0.15169467 0.43224042 0.13328749 0.1497486 ],[[0.31639455 0.03989559]  [0.03989559 1.08015544]] [[0.71674357 0.0973504 ]  [0.0973504  1.55330907]] [[1.19032835 0.11933843]  [0.11933843 2.57621855]] [[1.42671122 0.11495381]  [0.11495381 0.27537019]] [[ 1.51865363 -0.17366724]  [-0.17366724  0.91344948]],6,"{0: 152, 1: 0, 2: 124, 3: 425, 4: 168, 5: 131}",4,3,0
10,1.6e-07,10,250,1000,6,True,0.1452653309990513,0.3694751348430996,3,3,[1.55315035 1.17848533] [2.89326043 2.94274488] [0.73492422 3.393146  ],[6.04707795e-01 2.54324790e-01 1.40967415e-01 1.58318071e-10 2.53308881e-17 4.05294150e-24],[[ 2.38647334 -0.12153687]  [-0.12153687  1.7334931 ]] [[ 1.11936818 -0.28744598]  [-0.28744598  1.65875642]] [[ 0.87647877 -0.09832977]  [-0.09832977  1.18753488]],3,"{0: 638, 1: 239, 2: 123, 3: 0, 4: 0, 5: 0}",1,0,0
11,1.6e-07,11,250,1000,6,True,0.19784445651937352,0.04084866932541255,4,4,[1.55107997 2.26555128] [0.94497152 2.45008515] [1.81685745 0.55402119] [3.4122117  2.10594765],[2.15366994e-01 2.92641328e-01 1.07162500e-03 1.44544664e-01 3.46375388e-01 1.58536515e-10],[[0.67519248 0.29105044]  [0.29105044 2.65179967]] [[ 1.68851085 -0.06879675]  [-0.06879675  1.80343474]] [[ 2.14872688 -0.19370434]  [-0.19370434  1.0704793 ]] [[0.85341094 0.13954301]  [0.13954301 2.47216978]],5,"{0: 211, 1: 241, 2: 0, 3: 113, 4: 435, 5: 0}",2,0,0
12,1.6e-07,12,250,1000,6,True,0.1326151543924285,0.3290197616233909,3,3,[3.57999734 2.52660989] [1.66507592 2.70277236] [1.82239535 0.56056444],[1.48305146e-01 5.54320027e-01 2.97374827e-01 1.59118957e-10 2.54590298e-17 4.07344417e-24],[[ 0.58631249 -0.02157096]  [-0.02157096  1.97885932]] [[ 1.8915686  -0.13263296]  [-0.13263296  1.8611676 ]] [[ 2.09374742 -0.0268566 ]  [-0.0268566   1.32348318]],3,"{0: 147, 1: 550, 2: 303, 3: 0, 4: 0, 5: 0}",1,0,0
13,1.6e-07,13,250,1000,6,True,0.12796659477889302,-0.00015758605114223935,2,2,[2.8914763  1.92830685] [0.78372947 2.04210979],[1.07573164e-03 6.14821488e-01 3.84102781e-01 1.59266630e-10 2.54826575e-17 4.07722460e-24],[[ 1.79613648 -0.02053841]  [-0.02053841  2.70329565]] [[ 1.42930684 -0.06223847]  [-0.06223847  2.39983993]],3,"{0: 0, 1: 626, 2: 374, 3: 0, 4: 0, 5: 0}",1,0,1
14,1.6e-07,14,250,1000,6,True,0.22354978834525213,0.4470402493019029,3,3,[2.74956291 0.99455982] [2.60824751 3.07286705] [0.6573979 1.9835747],[3.38968607e-01 3.78018443e-01 2.83012951e-01 1.59038404e-10 2.54461413e-17 4.07138201e-24],[[ 1.8907651  -0.11687948]  [-0.11687948  1.26719784]] [[ 1.62954609 -0.19760782]  [-0.19760782  1.39678147]] [[ 0.97595593 -0.13995099]  [-0.13995099  2.45488761]],3,"{0: 315, 1: 376, 2: 309, 3: 0, 4: 0, 5: 0}",1,0,1
15,1.6e-07,15,250,1000,6,True,0.20250524481225024,0.3297494841953923,3,3,[2.03832513 3.45740552] [1.20975464 1.26891093] [3.42466277 1.60992526],[3.26815876e-01 4.14053549e-01 2.59130575e-01 1.58991255e-10 2.54385975e-17 4.07017500e-24],[[2.12625854 0.0607221 ]  [0.0607221  1.21244627]] [[1.53273842 0.06432707]  [0.06432707 1.72441536]] [[1.01618341 0.25283086]  [0.25283086 1.87965769]],3,"{0: 336, 1: 409, 2: 255, 3: 0, 4: 0, 5: 0}",1,0,1
16,1.6e-07,16,250,1000,6,True,0.17400180774350482,0.8098096770990231,2,2,[2.08399788 1.04977456] [1.74533671 2.94069578],[5.02140416e-01 4.97859584e-01 1.59520051e-10 2.55232052e-17 4.08371229e-24 6.53393872e-31],[[2.51534097 0.17026042]  [0.17026042 1.474574  ]] [[2.41597461 0.18026501]  [0.18026501 1.60842133]],2,"{0: 508, 1: 492, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
17,1.6e-07,17,250,1000,6,True,0.0,0.0,1,1,[1.85171337 2.04085353],[1.00000000e+00 1.59840145e-10 2.55744206e-17 4.09190681e-24 6.54705003e-31 1.04752785e-37],[[ 2.42659785 -0.10387831]  [-0.10387831  2.52549757]],1,"{0: 1000, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
18,1.6e-07,18,250,1000,6,True,0.13654577341719548,0.00322160163217725,3,3,[2.60015133 2.11750586] [0.92525426 2.01200931] [3.79759251 1.65123525],[1.97143160e-01 5.35006453e-01 2.67850387e-01 1.59049030e-10 2.54478415e-17 4.07165404e-24],[[0.27243655 0.22474159]  [0.22474159 3.08367991]] [[1.15768277 0.10143929]  [0.10143929 2.54663716]] [[1.16405377 0.37855209]  [0.37855209 2.63941343]],3,"{0: 252, 1: 516, 2: 232, 3: 0, 4: 0, 5: 0}",3,0,0
19,1.6e-07,19,250,1000,6,True,0.16368466680039934,0.0036268277184816414,2,2,[0.89615301 1.92225634] [2.90745923 2.15056627],[4.88187484e-01 5.11812515e-01 1.59528761e-10 2.55245987e-17 4.08393525e-24 6.53429545e-31],[[ 1.40578574 -0.05336983]  [-0.05336983  2.28792074]] [[ 1.47693632 -0.0940573 ]  [-0.0940573   2.35549514]],2,"{0: 494, 1: 506, 2: 0, 3: 0, 4: 0, 5: 0}",1,0,1
20,0.16666666666666666,0,250,1000,6,True,0.06625932571525024,0.17758275640387147,6,5,[-0.01646415  1.67613702] [2.4981122  1.03348019] [2.49514458 3.59234258] [1.05490218 2.26808332] [ 2.28639844 -0.97292824] [2.48542169 2.44482336],[0.07171116 0.33383584 0.20254204 0.31949753 0.00486181 0.06755161],[[ 1.85786443 -0.20590484]  [-0.20590484  1.8852448 ]] [[1.02292689 0.2232384 ]  [0.2232384  1.28868981]] [[0.97300486 0.02023643]  [0.02023643 0.94368832]] [[ 0.33177143 -0.12370134]  [-0.12370134  2.57313865]] [[ 0.50466961 -0.68206955]  [-0.68206955  5.55929938]] [[0.45834292 0.17629077]  [0.17629077 0.26246933]],6,"{0: 44, 1: 302, 2: 164, 3: 408, 4: 2, 5: 80}",4,0,3
