Language,Mean ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev,Mean number of nasal splits,Stdev number of nasal splits
0.0,-0.0021117662121452408,0.0010608989694588318,1.0,3.85,1.5256146302392357,2.57,2.2770814653850224
0.25,0.0006185779975760052,0.0019880078712096296,1.0,3.37,1.5915715503865984,1.91,2.0692752354387274
0.5,0.004199058435983615,0.007821314151641428,1.0,2.59,1.371823603820841,0.96,1.363231455036158
0.75,0.01075527768384298,0.02245929127262986,1.0,2.35,1.1779218989389746,0.49,0.8774394566008528
1.0,0.009109052014939296,0.021239743657236035,1.0,1.8,0.9486832980505139,0.24,0.5499090833947008
1.25,0.025760405644604113,0.0647204933647294,1.0,1.77,0.8468175718535841,0.21,0.49588305072869754
1.5,0.10424229540823873,0.14656485746022846,1.0,1.9,0.91104335791443,0.62,0.9568698971124548
1.75,0.29017186163743613,0.17684742157796907,1.0,2.41,0.9175510884958941,1.33,1.1920989891783316
2.0,0.4549554223059117,0.12257662483690951,1.0,2.56,0.7255342858886822,1.56,0.8867919710958145
2.25,0.5642910018831662,0.1013277897130916,1.0,2.64,0.8428523002282191,1.67,1.0959470790143107
2.5,0.6481726821811558,0.09779817367784197,1.0,2.56,0.7525955088890711,1.53,0.8883130078975541
2.75,0.7161667044957012,0.113597457999291,1.0,2.53,0.8056674251823764,1.57,1.0124722218411721
