Language,Mean ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev
0.0,-0.0026324842515291157,0.0007095106601544631,1.0,4.88,1.0609429767899876
0.25,0.0010196455114076376,0.0022843561040556703,1.0,4.64,1.0725670142233537
0.5,0.009513723218654043,0.009428501934312012,1.0,4.03,1.236567830731497
0.75,0.019764518715116034,0.021318458577504924,1.0,3.37,1.0644716999526103
1.0,0.03005401561828656,0.03769664879701748,1.0,2.94,1.0278132126023678
1.25,0.06238755827806194,0.08008646791862352,1.0,2.59,1.0591978096654089
1.5,0.1959969846542367,0.12499230295659772,1.0,2.92,0.9867117106835208
1.75,0.3379147890301998,0.10557142455355129,1.0,3.23,1.028153685010174
2.0,0.4477726123478301,0.10818563958847582,1.0,3.23,1.056929515152264
2.25,0.5255334305056173,0.11449158886355927,1.0,3.2,0.9797958971132713
2.5,0.6088832120654707,0.12269697566560667,1.0,3.06,1.0278132126023678
2.75,0.6681130404800628,0.136022950714401,1.0,2.97,0.9105492847726585
