Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
1.6e-07,0,450,3000,6,True,0.23606674133111438,0.49230679105377767,5,5,[2.17859657 4.26142748] [1.21242683 0.63529807] [0.85503496 3.2185914 ] [2.61155044 1.32085218] [4.03715653 3.34854656],[3.64236810e-01 3.00822398e-01 1.61867392e-01 1.37604800e-01 3.54685996e-02 8.69787093e-11],[[ 0.95148214 -0.01168553]  [-0.01168553  1.28431849]] [[0.91474902 0.25187428]  [0.25187428 1.06671937]] [[0.79354915 0.0745305 ]  [0.0745305  0.72614284]] [[ 0.6851449  -0.11707892]  [-0.11707892  0.62889745]] [[0.79580495 0.91709555]  [0.91709555 5.41287637]],5,"{0: 688, 1: 554, 2: 262, 3: 258, 4: 38, 5: 0}",3,2,1
1.6e-07,1,450,3000,6,True,0.24518175266889006,0.4993698619186073,6,4,[2.17105383 1.47660198] [3.71382346 4.58183973] [-0.28145788  1.30389877] [0.46245333 1.61325735] [1.94382919 4.45593193] [-0.4283078  -0.63099528],[0.47077599 0.02874621 0.00480246 0.15749598 0.33658736 0.00159201],[[0.85838371 0.20221078]  [0.20221078 1.6652835 ]] [[ 2.71581479 -0.48079435]  [-0.48079435  3.37718616]] [[2.17036491 1.25096316]  [1.25096316 1.42223837]] [[0.27586627 0.19258779]  [0.19258779 3.08587509]] [[1.06890048 0.22573678]  [0.22573678 0.91262211]] [[2.69671665 3.38478158]  [3.38478158 5.5160009 ]],6,"{0: 822, 1: 22, 2: 4, 3: 276, 4: 674, 5: 2}",3,1,2
1.6e-07,2,450,3000,6,True,0.2504070998037412,0.5051998777309963,5,5,[1.78185036 0.59361292] [1.59678707 3.65534188] [0.34191817 2.46440355] [1.78773554 0.69031461] [2.95956714 4.38019779],[0.08533652 0.35620088 0.00059653 0.07404651 0.32562    0.15819955],[[1.3358148  0.89288752]  [0.89288752 2.59564038]] [[ 0.73194577 -0.06494386]  [-0.06494386  1.61528303]] [[ 0.8133256  -0.26025763]  [-0.26025763  0.49938758]] [[1.75401656 0.54160394]  [0.54160394 0.86674346]] [[0.88566771 0.12079805]  [0.12079805 1.22012688]],5,"{0: 26, 1: 672, 2: 0, 3: 112, 4: 732, 5: 258}",1,1,0
1.6e-07,3,450,3000,6,True,0.14668727104304,0.25630179999858765,5,5,[2.11129595 3.49751242] [1.99474866 4.61506659] [1.32703682 0.98023377] [0.05809248 1.19833812] [2.46933399 0.99553825],[0.30206653 0.00059716 0.21101063 0.18666351 0.14102853 0.15863364],[[ 1.63634444 -0.38416266]  [-0.38416266  1.33766043]] [[1.45126003 0.60767736]  [0.60767736 1.16235847]] [[0.27425533 0.03816272]  [0.03816272 1.49364988]] [[0.23265102 0.1412672 ]  [0.1412672  2.43999091]] [[ 0.69882491 -0.03809145]  [-0.03809145  0.79651083]],5,"{0: 594, 1: 0, 2: 322, 3: 352, 4: 270, 5: 262}",3,0,3
1.6e-07,4,450,3000,6,True,0.2641307444843837,0.6745436586180195,4,4,[2.14626085 1.55220148] [1.87069569 4.16840161] [2.01560298 3.08715194] [1.15683207 0.1872651 ],[2.15301091e-01 4.29902991e-01 5.96168441e-04 1.16573857e-01 2.37625893e-01 8.82941434e-11],[[0.70644966 0.03645469]  [0.03645469 0.5304445 ]] [[1.3132269  0.61587831]  [0.61587831 1.51518907]] [[ 2.89349053 -0.11048631]  [-0.11048631  1.21826963]] [[1.29431396 0.03310557]  [0.03310557 1.03618213]],4,"{0: 458, 1: 878, 2: 0, 3: 58, 4: 406, 5: 0}",0,0,0
1.6e-07,5,450,3000,6,True,0.2730337071632719,0.7190614299675795,4,4,[2.01909876 3.67620638] [2.18624701 4.01518597] [0.67297683 3.36274772] [1.80959433 0.82359107],[0.1088613  0.0005972  0.29840811 0.15732818 0.00059537 0.43420984],[[0.20258998 0.04924825]  [0.04924825 1.96594226]] [[1.44395307 0.49313962]  [0.49313962 1.55187782]] [[0.74899518 0.13373571]  [0.13373571 1.96513985]] [[1.42295269 0.47226119]  [0.47226119 1.31392396]],4,"{0: 42, 1: 0, 2: 612, 3: 270, 4: 0, 5: 876}",2,2,0
1.6e-07,6,450,3000,6,True,0.2967784718690073,0.5672743695864099,4,4,[1.9978975  2.65332729] [1.64771575 4.51643283] [1.54109163 0.88422795] [3.24726755 3.84642941],[1.62902422e-01 3.05549448e-01 4.62669715e-01 6.88784146e-02 8.79800318e-11 1.40768030e-17],[[ 1.32231918 -0.48082407]  [-0.48082407  0.6326302 ]] [[1.26302326 0.51194935]  [0.51194935 0.93567683]] [[1.4691871  0.19970985]  [0.19970985 1.31745203]] [[0.86431381 0.40318728]  [0.40318728 0.64462716]],4,"{0: 286, 1: 592, 2: 820, 3: 102, 4: 0, 5: 0}",1,1,0
1.6e-07,7,450,3000,6,True,0.28982183771202985,0.5411985608007253,4,4,[2.13057445 3.65129796] [1.84054932 0.78799591] [0.93395412 2.85176188] [2.61863149 4.52727727],[5.97277862e-04 1.53503446e-01 4.46909749e-01 1.75996923e-01 2.22992604e-01 8.83893017e-11],[[ 0.88802324 -0.65353022]  [-0.65353022  0.93455179]] [[1.28283128 0.35944561]  [0.35944561 1.15383407]] [[ 0.8646592  -0.17328434]  [-0.17328434  1.07088036]] [[0.97099128 0.22487217]  [0.22487217 0.97315232]],4,"{0: 0, 1: 350, 2: 824, 3: 294, 4: 332, 5: 0}",1,1,0
1.6e-07,8,450,3000,6,True,0.18215678485520223,0.28260343662432996,6,6,[3.3374565  3.70158401] [0.70096586 2.26771659] [1.8845822  4.70236621] [2.34063133 2.76961371] [2.1830092  0.65493884] [0.86990633 0.24998278],[0.07612508 0.14130077 0.28033236 0.18223494 0.1571158  0.16289104],[[0.79547635 0.46881025]  [0.46881025 2.50237779]] [[0.78980119 0.11916753]  [0.11916753 0.53754578]] [[1.22505922 0.20784902]  [0.20784902 0.87398284]] [[ 1.18170389 -0.561962  ]  [-0.561962    0.87457466]] [[ 0.66577796 -0.11135284]  [-0.11135284  0.82103868]] [[0.86781537 0.5569096 ]  [0.5569096  1.25108832]],6,"{0: 68, 1: 270, 2: 550, 3: 370, 4: 282, 5: 260}",3,1,1
1.6e-07,9,450,3000,6,True,0.2625830964617717,0.6816734039282101,4,4,[1.16195476 0.62399643] [2.12855225 1.8400276 ] [1.74705453 4.13123138] [2.42362675 1.49715263],[2.74691913e-01 1.02094330e-01 4.66147442e-01 1.57066315e-01 8.83806858e-11 1.41409077e-17],[[ 0.58300844 -0.00757243]  [-0.00757243  1.49018899]] [[3.05720203 0.84773587]  [0.84773587 2.0047272 ]] [[1.22264712 0.344592  ]  [0.344592   1.37686176]] [[ 0.34939979 -0.113458  ]  [-0.113458    0.83373535]],4,"{0: 518, 1: 48, 2: 902, 3: 332, 4: 0, 5: 0}",1,0,1
