Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
1.6e-07,0,500,1000,6,True,0.0470357404151887,0.15106235336952425,4,4,[1.22532204 1.9263001 ] [2.66006442 0.78810764] [2.67846318 2.84313483] [-0.48029896  1.46892368],[0.43888991 0.18892488 0.0005364  0.3260908  0.00052928 0.04502873],[[ 0.49043884 -0.17563409]  [-0.17563409  2.62815194]] [[ 0.83965969 -0.03974087]  [-0.03974087  0.96605199]] [[ 0.79548157 -0.04815656]  [-0.04815656  1.42669682]] [[ 1.09744323 -0.23285596]  [-0.23285596  1.63284683]],4,"{0: 1024, 1: 318, 2: 0, 3: 596, 4: 0, 5: 62}",3,0,3
1.6e-07,1,500,1000,6,True,0.04787965616505121,0.1668741769580584,4,4,[1.59018557 1.49475813] [1.70625591 0.78869743] [2.3453801  2.80923182] [2.60004442 3.77536345],[5.37641336e-04 5.96207592e-01 5.24825922e-02 2.81777787e-01 5.31586518e-04 6.84628012e-02],[[ 1.02376816 -0.33846059]  [-0.33846059  2.03705258]] [[4.25215085 0.94360576]  [0.94360576 1.46250238]] [[ 1.33353723 -0.75299786]  [-0.75299786  1.86597092]] [[ 0.63174368 -0.07881123]  [-0.07881123  0.77089018]],4,"{0: 0, 1: 1346, 2: 18, 3: 576, 4: 0, 5: 60}",0,0,0
1.6e-07,2,500,1000,6,False,0.1244898164500219,0.4036721744261025,5,5,[1.57853873 2.43376523] [3.57386849 2.9906013 ] [2.19370974 0.71265873] [1.27139414 3.86423682] [2.28578927 3.76706672],[4.40439390e-01 8.24126033e-02 3.85470042e-01 4.34970602e-02 4.81809044e-02 7.85643906e-11],[[1.13249652 0.00289288]  [0.00289288 1.47727621]] [[0.43626349 0.24842006]  [0.24842006 1.13746162]] [[1.79688453 0.25659779]  [0.25659779 1.3051538 ]] [[ 0.28256679 -0.24877491]  [-0.24877491  1.72429843]] [[0.12668402 0.15028299]  [0.15028299 1.56155847]],5,"{0: 974, 1: 154, 2: 796, 3: 26, 4: 50, 5: 0}",4,1,0
1.6e-07,3,500,1000,6,True,0.04602883323240591,0.141764372107785,5,5,[0.86948729 1.82532683] [3.11003462 2.54013771] [2.10751176 0.74806711] [1.07115579 2.63523557] [2.10491959 2.91231657],[0.24628115 0.33661406 0.19626855 0.10709573 0.00053292 0.11320759],[[ 1.06758313 -0.04501464]  [-0.04501464  2.98067118]] [[ 0.72774965 -0.32546266]  [-0.32546266  2.06356479]] [[0.71866916 0.03698614]  [0.03698614 1.13223207]] [[ 0.18332922 -0.06457553]  [-0.06457553  1.60478685]] [[0.07149667 0.01435787]  [0.01435787 1.45132871]],5,"{0: 376, 1: 636, 2: 410, 3: 246, 4: 0, 5: 332}",4,0,1
1.6e-07,4,500,1000,6,True,0.07966199537629702,0.26045872184311913,4,4,[3.16306445 1.74701514] [1.45617745 1.25938739] [0.28537237 1.59644214] [1.52646267 3.26086867],[3.53344753e-01 2.71773275e-01 1.00432169e-01 2.74449803e-01 7.96472485e-11 1.27435579e-17],[[0.69793847 0.2507513 ]  [0.2507513  2.75336377]] [[ 0.522963   -0.0197339 ]  [-0.0197339   1.14437309]] [[ 1.21634447 -0.14479091]  [-0.14479091  2.4470499 ]] [[ 0.79822758 -0.09211806]  [-0.09211806  1.04818879]],4,"{0: 730, 1: 584, 2: 118, 3: 568, 4: 0, 5: 0}",3,0,3
1.6e-07,5,500,1000,6,False,0.0,0.0,1,1,[1.97552104 2.08856828],[9.54661468e-01 5.31003971e-04 4.48075282e-02 7.82252944e-11 1.25160454e-17 2.00256698e-24],[[1.46144437 0.00311922]  [0.00311922 2.45215807]],2,"{0: 2000, 1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,6,500,1000,6,True,0.032198275502553934,0.08033199606376126,4,4,[1.60134478 1.82023216] [2.75423135 1.24239756] [3.95554447 1.25868647] [1.837595   3.80296243],[5.96957335e-01 5.36934919e-04 1.98324424e-01 5.16827609e-02 1.52498546e-01 7.93091811e-11],[[1.15339226 0.28663544]  [0.28663544 1.9651414 ]] [[0.33894567 0.25509038]  [0.25509038 2.15927501]] [[0.95820109 0.34408017]  [0.34408017 2.39707445]] [[1.42344341 0.15526614]  [0.15526614 0.73316877]],4,"{0: 1248, 1: 0, 2: 384, 3: 68, 4: 300, 5: 0}",3,0,3
1.6e-07,7,500,1000,6,True,0.08261840726630232,0.23853069877267544,4,4,[1.49818233 0.67531543] [2.81731531 2.23898319] [1.91701563 2.26297369] [0.79394418 2.85168985],[3.12990918e-01 3.91527158e-01 1.59856374e-01 5.34244477e-04 1.35091306e-01 7.91837805e-11],[[ 1.23907328 -0.16358244]  [-0.16358244  1.19180133]] [[ 0.7577674  -0.0694925 ]  [-0.0694925   2.16138337]] [[ 9.96774864e-02 -9.90391303e-04]  [-9.90391303e-04  2.02161131e+00]] [[ 0.56819244 -0.04092422]  [-0.04092422  0.96109589]],4,"{0: 646, 1: 722, 2: 370, 3: 0, 4: 262, 5: 0}",3,0,0
1.6e-07,8,500,1000,6,True,0.09495998428241072,0.2918057050516531,6,6,[2.18471066 0.16848468] [2.63824886 1.09854239] [1.06905773 1.11356741] [2.65300462 2.67640012] [1.62741005 3.7097042 ] [3.72245933 1.79879482],[0.08373959 0.12430111 0.30894884 0.14799442 0.25838835 0.0766277 ],[[ 0.22518813 -0.08703714]  [-0.08703714  1.01222821]] [[ 0.63495417 -0.41394564]  [-0.41394564  0.51552303]] [[ 1.03375419 -0.25535748]  [-0.25535748  1.78103585]] [[1.09837555 0.29262621]  [0.29262621 0.38629412]] [[0.92775237 0.18765977]  [0.18765977 1.05488102]] [[ 0.9738403  -0.36110665]  [-0.36110665  0.80098732]],6,"{0: 144, 1: 308, 2: 598, 3: 354, 4: 498, 5: 98}",5,0,4
1.6e-07,9,500,1000,6,True,0.09348475259525424,0.319174609367161,5,5,[2.60591306 0.28495153] [0.34454341 2.05296443] [2.32438639 3.0836639 ] [1.29433021 1.72307993] [2.8220099  1.54906886],[1.89352937e-01 9.65435647e-02 3.91727916e-01 2.16485848e-01 1.05889734e-01 7.93579941e-11],[[ 0.99033651 -0.23436164]  [-0.23436164  0.97097577]] [[0.93768576 0.25796974]  [0.25796974 2.97110318]] [[1.11740688 0.01535712]  [0.01535712 1.39268401]] [[ 0.24249869 -0.18189445]  [-0.18189445  2.31197   ]] [[0.80195241 0.01950954]  [0.01950954 0.31294159]],5,"{0: 332, 1: 146, 2: 762, 3: 558, 4: 202, 5: 0}",3,0,1
