Concentration,Mean ARI,ARI standard dev,Percent converged,Mean number of categories,Number of categories standard dev
1e-13,0.74343808571944,0.07275997214239015,0.9,4.0,0.0
0.016666666666666635,0.7324681150577589,0.06637004390053614,0.9,3.9,0.3
0.06666666666666665,0.7699667665175228,0.04324209716638124,1.0,4.0,0.0
0.11666666666666665,0.768861111917005,0.053537693427278814,1.0,4.0,0.0
0.16666666666666666,0.7413199214978435,0.05342300864346693,1.0,4.0,0.0
0.21666666666666667,0.7418375141755169,0.03810381447148831,1.0,4.0,0.0
0.26666666666666666,0.784053074169343,0.061081519441841536,1.0,4.1,0.3
0.31666666666666665,0.7681214502684256,0.04525488739913209,1.0,4.0,0.0
0.3666666666666667,0.7574878023343314,0.08493789893343631,1.0,3.9,0.3
0.41666666666666663,0.7303905329986372,0.07169403063956514,1.0,4.1,0.3
0.4666666666666667,0.7845899857489835,0.07182800986377982,1.0,4.0,0.0
0.5166666666666667,0.7699057130376319,0.04484888830813735,1.0,4.0,0.0
0.5666666666666667,0.7807533847056073,0.081634349321987,1.0,4.0,0.0
0.6166666666666667,0.765987702887713,0.04244750841850657,1.0,4.2,0.39999999999999997
0.6666666666666666,0.755388916576663,0.052706021640327665,0.9,4.1,0.3
0.7166666666666667,0.7376615350959452,0.03490671316654428,1.0,4.0,0.0
0.7666666666666667,0.7790195885775578,0.05518971687390411,1.0,4.0,0.0
0.8166666666666667,0.7325124663501795,0.07967822935212017,0.9,4.0,0.0
0.8666666666666667,0.7312307644784422,0.08213921970574639,0.9,4.0,0.0
0.9166666666666666,0.7706158816008929,0.04207400004928206,0.9,4.0,0.0
0.9666666666666667,0.7472694847582224,0.03959032950929011,1.0,4.1,0.3
1.0166666666666668,0.7185381292912244,0.10487595399837484,0.9,3.9,0.3
1.0666666666666667,0.7662036560271868,0.05629138263443208,1.0,4.0,0.0
1.1166666666666667,0.7338158711992313,0.08357218527536692,1.0,4.0,0.4472135954999579
1.1666666666666667,0.7580842730583901,0.05734351555159251,1.0,4.0,0.0
1.2166666666666668,0.7885210865168804,0.03133068188840261,0.9,4.0,0.0
1.2666666666666668,0.7906332761296816,0.03916702921158826,1.0,4.0,0.0
1.3166666666666669,0.755994557358064,0.04169531514517527,1.0,4.1,0.3
1.366666666666667,0.7599579788446105,0.045905687764562615,1.0,4.0,0.0
1.4166666666666667,0.780141519155584,0.02736921111217388,1.0,4.0,0.0
1.4666666666666668,0.7326174160026719,0.07677735440506912,0.8,4.0,0.0
1.5166666666666668,0.7511158106167326,0.03628110866915584,1.0,4.1,0.3
1.5666666666666669,0.7309545119401328,0.07940173393459757,1.0,4.0,0.4472135954999579
1.616666666666667,0.7363903017610859,0.06543959310728692,1.0,4.0,0.0
