Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,HeightARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
1.6e-07,0,250,3000,6,True,0.4872982915457594,1.0,2,2,[0.99412143 5.06640928] [1.00067432 0.06979873],[1.07338773e-03 4.97545298e-01 5.01381314e-01 1.59363235e-10 2.54981142e-17 4.07969768e-24],[[0.77044117 0.01989928]  [0.01989928 0.74736352]] [[0.76479563 0.01599667]  [0.01599667 0.80571001]],3,"{0: 0, 1: 498, 2: 502, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,1,250,3000,6,True,0.4962080234711736,0.9880839326643085,3,3,[1.06394104 4.98152969] [ 1.05691029 -0.01635295] [-0.42836352  3.93298049],[4.94436874e-01 4.95252241e-01 1.03108845e-02 1.45459437e-10 2.32735068e-17 3.72376054e-24],[[ 0.62477882 -0.06768962]  [-0.06768962  0.59273616]] [[ 0.64076305 -0.05442368]  [-0.05442368  0.58464864]] [[ 0.67763825 -0.35074861]  [-0.35074861  5.5249228 ]],3,"{0: 496, 1: 498, 2: 6, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,2,250,3000,6,True,0.420617683829934,0.7374953714740348,3,3,[0.51758511 4.93418025] [1.58812734 4.80204317] [ 1.1109199  -0.12168864],[0.23302644 0.00107862 0.27382678 0.0010745  0.00107211 0.48992154],[[0.41121243 0.11610959]  [0.11610959 1.27886759]] [[0.50566958 0.07073122]  [0.07073122 0.58121426]] [[0.75624771 0.05845579]  [0.05845579 0.74699788]],6,"{0: 236, 1: 0, 2: 270, 3: 0, 4: 0, 5: 494}",1,1,0
1.6e-07,3,250,3000,6,True,0.49126813834586464,0.9920080001281283,2,2,[1.11238307 5.07470884] [1.11684745 0.08199979],[1.08694211e-03 5.00326776e-01 1.08331743e-03 1.08551799e-03 4.96417446e-01 1.58725218e-10],[[0.80629847 0.00954733]  [0.00954733 0.72239071]] [[0.81177166 0.01296693]  [0.01296693 0.71203292]],5,"{0: 0, 1: 500, 2: 0, 3: 0, 4: 500, 5: 0}",0,0,0
1.6e-07,4,250,3000,6,True,0.4288391615904855,0.7517099082924726,4,4,[1.13398716 4.99439353] [0.78816483 0.05718355] [ 2.02015958 -0.09787737] [-0.50849195  0.36162064],[4.96410408e-01 3.06877778e-01 1.65243184e-01 3.14686297e-02 1.53868770e-10 2.46189996e-17],[[ 0.83515558 -0.04415565]  [-0.04415565  0.6854332 ]] [[ 0.33159272 -0.01884271]  [-0.01884271  0.6244543 ]] [[0.37043408 0.04763043]  [0.04763043 0.7894304 ]] [[0.55364886 0.22863928]  [0.22863928 2.76924451]],4,"{0: 498, 1: 319, 2: 161, 3: 22, 4: 0, 5: 0}",3,0,3
1.6e-07,5,250,3000,6,True,0.4992481203007519,1.0,2,2,[1.10308214 0.00506318] [1.10171716 4.99375229],[5.00408062e-01 4.99591938e-01 1.59521159e-10 2.55233824e-17 4.08374065e-24 6.53398409e-31],[[ 0.66861987 -0.03265739]  [-0.03265739  0.74465496]] [[ 0.66940955 -0.03259069]  [-0.03259069  0.74661087]],2,"{0: 500, 1: 500, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,6,250,3000,6,True,0.4992481203007519,1.0,2,2,[1.09107859 0.02239889] [1.09092884 5.01063658],[5.01153969e-01 4.98846031e-01 1.59520683e-10 2.55233063e-17 4.08372847e-24 6.53396459e-31],[[0.793015   0.09441381]  [0.09441381 0.81125378]] [[0.79530305 0.09500421]  [0.09500421 0.79699748]],2,"{0: 500, 1: 500, 2: 0, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,7,250,3000,6,True,0.4992481203007519,1.0,2,2,[1.03196773 4.8410077 ] [ 1.0339947  -0.14834851],[5.00072017e-01 1.06984255e-03 1.06410660e-03 1.06180350e-03 4.96732230e-01 1.58568596e-10],[[0.6760114  0.01620867]  [0.01620867 0.66712335]] [[0.67781944 0.0167148 ]  [0.0167148  0.67431238]],5,"{0: 500, 1: 0, 2: 0, 3: 0, 4: 500, 5: 0}",0,0,0
1.6e-07,8,250,3000,6,True,0.4992481203007519,1.0,2,2,[1.08728527 5.0299764 ] [1.08574553 0.04256544],[5.00687058e-01 1.06989605e-03 4.98243046e-01 1.59202408e-10 2.54723819e-17 4.07558051e-24],[[ 0.77773476 -0.05615894]  [-0.05615894  0.80266691]] [[ 0.77826804 -0.05635187]  [-0.05635187  0.79774699]],3,"{0: 500, 1: 0, 2: 500, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,9,250,3000,6,True,0.4358656185942647,0.795420432703168,4,3,[1.93849367 4.77636929] [1.02624477 0.092019  ] [-0.16349789 -0.19550071] [0.74542761 5.15700256],[1.30896237e-01 4.95452232e-01 5.34256681e-03 3.68308965e-01 1.58802290e-10 2.54083627e-17],[[ 0.2310693  -0.02883118]  [-0.02883118  1.46457208]] [[ 0.72639337 -0.14051762]  [-0.14051762  0.83474655]] [[0.9044463  1.49921419]  [1.49921419 5.37428142]] [[ 0.52353036 -0.04639352]  [-0.04639352  0.66276944]],4,"{0: 126, 1: 498, 2: 2, 3: 374, 4: 0, 5: 0}",2,1,1
1.6e-07,10,250,3000,6,True,0.4992481203007519,1.0,2,2,[ 0.94265164 -0.03720337] [0.94329717 4.95067373],[1.07288789e-03 4.99513019e-01 4.99414093e-01 1.59361988e-10 2.54979147e-17 4.07966576e-24],[[0.68688297 0.00497474]  [0.00497474 0.79763535]] [[0.68592053 0.00504017]  [0.00504017 0.80750366]],3,"{0: 0, 1: 500, 2: 500, 3: 0, 4: 0, 5: 0}",0,0,0
1.6e-07,11,250,3000,6,True,0.48362453299622105,0.9412860079941835,3,3,[ 1.13989924 -0.00813674] [1.54564513 4.97288953] [1.04605083 4.97873929],[4.95634248e-01 1.06627904e-03 1.00569393e-01 4.02730080e-01 1.58816379e-10 2.54106170e-17],[[ 0.67105747 -0.01320582]  [-0.01320582  0.71655052]] [[0.21341778 0.15172695]  [0.15172695 1.6821304 ]] [[ 0.72400169 -0.05359072]  [-0.05359072  0.64307219]],4,"{0: 496, 1: 0, 2: 31, 3: 473, 4: 0, 5: 0}",0,0,0
