Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,NumCats,Means,Weights,NumLargeWeights
9.92290301275212e-08,0,250,1000,6,True,0.44519201712562645,2,[-0.13329197 -0.57107057] [-0.01866706  0.09042176],[6.36145356e-01 3.63854644e-01 1.96981348e-10 1.95462675e-17 1.93955706e-24 1.92460351e-31],2
9.92290301275212e-08,1,250,1000,6,True,0.5920973456470804,3,[-0.04657127 -0.67196356] [-0.73738707  0.24174344] [-0.0459483  0.0345949],[5.50871745e-01 5.77008426e-03 2.13152398e-03 2.12109038e-03 4.39105557e-01 1.94556863e-10],5
9.92290301275212e-08,2,250,1000,6,True,0.3873838876825418,3,[-0.31157477 -0.04819661] [ 0.10628349 -0.72939598] [ 0.58782545 -0.04222256],[3.85966565e-01 4.95893477e-01 2.10122389e-03 2.06324451e-03 1.13975490e-01 1.87761377e-10],5
9.92290301275212e-08,3,250,1000,6,True,0.4139447362779713,3,[ 0.53639506 -0.61537386] [0.0983712  0.04464976] [-0.53410122 -0.67110914],[2.33332610e-01 4.72331108e-01 2.94336281e-01 1.96220426e-10 1.94707615e-17 1.93206463e-24],3
9.92290301275212e-08,4,250,1000,6,True,0.4613870017145513,2,[ 0.0098245  -0.61022703] [0.03508641 0.08094196],[6.32618620e-01 2.13763331e-03 3.65243746e-01 1.95926733e-10 1.94416187e-17 1.92917282e-24],3
9.92290301275212e-08,5,250,1000,6,True,0.39328347702055405,2,[ 0.01652932 -0.10867749] [-0.02470579 -0.80030896],[6.52309559e-01 3.47690441e-01 1.96931398e-10 1.95413110e-17 1.93906523e-24 1.92411548e-31],2
9.92290301275212e-08,6,250,1000,6,True,0.18897313574439462,2,[ 0.00251504 -0.4851028 ] [-0.04865167  0.19485287],[7.95535018e-01 2.12793053e-03 2.10383100e-03 2.00233220e-01 1.92368718e-10 1.90885599e-17],4
9.92290301275212e-08,7,250,1000,6,True,0.35816392355484294,4,[-0.0053988  -0.61697832] [-0.10619923 -0.01841916] [-0.66177902 -0.74556255] [ 0.83319636 -0.64482234],[0.19389331 0.00214076 0.40921053 0.23118259 0.00209564 0.16147718],6
9.92290301275212e-08,8,250,1000,6,True,0.439808145588117,2,[-0.02519407 -0.05507243] [ 0.00727711 -0.74826268],[5.95324077e-01 2.14177435e-03 4.02534148e-01 1.96122093e-10 1.94610040e-17 1.93109640e-24],3
9.92290301275212e-08,9,250,1000,6,True,0.18112780681304316,4,[-0.01884492  0.10883598] [-0.8111291  -0.22087891] [ 0.61827266 -0.52829935] [-0.29939077 -0.66868694],[2.39824408e-01 2.54751669e-01 3.31773745e-01 1.73650178e-01 1.94546602e-10 1.93046691e-17],4
9.92290301275212e-08,10,250,1000,6,True,0.4398050500848723,2,[-0.18956136 -0.6428391 ] [-0.06942556  0.03007836],[5.88253809e-01 4.11746191e-01 1.97106428e-10 1.95586791e-17 1.94078865e-24 1.92582561e-31],2
9.92290301275212e-08,11,250,1000,6,True,0.5348973141227181,2,[ 0.06162412 -0.03560549] [ 0.00943336 -0.72611973],[5.51739905e-01 4.48260094e-01 1.97183916e-10 1.95663681e-17 1.94155162e-24 1.92658270e-31],2
9.92290301275212e-08,12,250,1000,6,True,0.4613321811870046,2,[0.07560497 0.0344093 ] [-0.06736907 -0.64781592],[4.51836269e-01 5.48163731e-01 1.97343355e-10 1.95821891e-17 1.94312153e-24 1.92814050e-31],2
