Concentration,Seed,NumSamples,MaxIters,MaxCats,Converged,ARI,NumCats,NumBigCats,Means,Weights,Covs,NumLargeWeights,CategoryCounts,NumNasalSplits,NumHighSplits,NumLowSplits
1.6e-07,0,250,1000,6,True,0.7865709147859277,4,4,[3.99855797 1.06046082] [0.98926302 4.01147802] [1.01119263 1.01932083] [3.980736   4.07483084],[2.47824529e-01 2.56067481e-01 2.28926798e-01 2.67181192e-01 1.58716290e-10 2.53946027e-17],[[0.8333401  0.07516186]  [0.07516186 0.71976246]] [[0.71232914 0.06918601]  [0.06918601 0.81555269]] [[0.74156287 0.09819768]  [0.09819768 0.592934  ]] [[0.85664428 0.10672268]  [0.10672268 0.8512235 ]],4,"{0: 250, 1: 249, 2: 234, 3: 267, 4: 0, 5: 0}",2,1,1
1.6e-07,1,250,1000,6,True,0.8774953333084698,5,4,[1.05429123 1.04977737] [2.45967609 5.03047919] [4.04277064 1.05168065] [4.05194298 4.04960581] [1.06030598 4.04720845],[0.25358883 0.00107103 0.00570859 0.25281473 0.2418964  0.24492042],[[0.57158407 0.12112766]  [0.12112766 0.69634172]] [[ 1.81092634 -0.10838976]  [-0.10838976  4.00786754]] [[0.56521027 0.11476073]  [0.11476073 0.70621931]] [[0.55794642 0.12498279]  [0.12498279 0.60840499]] [[0.56463945 0.09284993]  [0.09284993 0.63908981]],6,"{0: 248, 1: 0, 2: 3, 3: 250, 4: 249, 5: 250}",4,3,1
1.6e-07,2,250,1000,6,True,0.7347092193392649,4,4,[1.01009968 0.80072509] [3.98060983 3.84432794] [3.98562293 0.84990026] [0.98597201 3.77893944],[0.21391992 0.27564004 0.00106917 0.24788224 0.00106435 0.26042429],[[0.71175062 0.13969191]  [0.13969191 0.61837206]] [[0.90405329 0.09261342]  [0.09261342 0.77724018]] [[0.91685515 0.09756637]  [0.09756637 0.60176927]] [[0.74769327 0.09801482]  [0.09801482 0.98765287]],6,"{0: 223, 1: 268, 2: 0, 3: 246, 4: 0, 5: 263}",2,1,1
1.6e-07,3,250,1000,6,True,0.7845925013818739,4,4,[3.8007957  4.03722412] [3.75959657 1.08186739] [0.85459809 4.04467604] [0.78814311 1.03250025],[2.59317993e-01 2.87503002e-01 1.07057565e-03 2.37866717e-01 2.14241711e-01 1.58190870e-10],[[0.94687022 0.23895584]  [0.23895584 0.70500696]] [[1.02258302 0.17745209]  [0.17745209 0.83076613]] [[0.73523282 0.21651525]  [0.21651525 0.83303393]] [[0.59440639 0.19654832]  [0.19654832 0.73256566]],5,"{0: 255, 1: 282, 2: 0, 3: 241, 4: 222, 5: 0}",2,1,1
1.6e-07,4,250,1000,6,True,0.7962565531545466,4,4,[0.95634294 0.95584217] [3.98644625 3.97412741] [0.9429924  3.92591498] [3.97165627 0.97249155],[2.42901040e-01 2.57845539e-01 2.48040090e-01 2.51213331e-01 1.58682202e-10 2.53891486e-17],[[0.67511672 0.16339522]  [0.16339522 0.78436443]] [[0.73903273 0.16638804]  [0.16638804 0.83892738]] [[0.64252642 0.14541596]  [0.14541596 0.84357795]] [[0.76478372 0.15079973]  [0.15079973 0.77701171]],4,"{0: 243, 1: 258, 2: 249, 3: 250, 4: 0, 5: 0}",2,1,1
1.6e-07,5,250,1000,6,True,0.7922292596893383,4,4,[4.07286394 3.92912039] [1.08942924 0.94773816] [1.08545408 3.92457229] [4.06820518 0.96200174],[2.50914301e-01 2.58300126e-01 2.69096218e-01 2.21689355e-01 1.58591162e-10 2.53745822e-17],[[0.59365111 0.01991587]  [0.01991587 0.87143   ]] [[0.80907534 0.02899087]  [0.02899087 0.68854933]] [[0.73280596 0.00781255]  [0.00781255 0.78957797]] [[0.56590329 0.00393199]  [0.00393199 0.68744322]],4,"{0: 249, 1: 257, 2: 269, 3: 225, 4: 0, 5: 0}",2,1,1
1.6e-07,6,250,1000,6,True,0.756691676255006,4,4,[3.95580128 4.01949044] [0.97805483 4.00196884] [3.9549509  1.04766857] [0.97803816 1.04086366],[0.26000673 0.00107369 0.2366558  0.25079383 0.00106361 0.25040634],[[0.94782544 0.0471303 ]  [0.0471303  0.7448541 ]] [[0.80214707 0.025796  ]  [0.025796   0.69291302]] [[0.93671315 0.04430485]  [0.04430485 0.71435819]] [[0.93379316 0.06306771]  [0.06306771 0.7833173 ]],6,"{0: 253, 1: 0, 2: 241, 3: 250, 4: 0, 5: 256}",2,1,1
1.6e-07,7,250,1000,6,True,0.8441204878839599,4,4,[1.15231351 0.98896366] [4.16486083 3.95387266] [1.17167539 3.96648529] [4.14168809 0.97210263],[2.56909638e-01 2.47491745e-01 2.45385427e-01 2.50213189e-01 1.58673455e-10 2.53877491e-17],[[0.68449287 0.07921923]  [0.07921923 0.71606329]] [[0.68505916 0.09994426]  [0.09994426 0.66107778]] [[0.68667584 0.06722525]  [0.06722525 0.62570745]] [[0.67177214 0.0731989 ]  [0.0731989  0.68519334]],4,"{0: 257, 1: 249, 2: 244, 3: 250, 4: 0, 5: 0}",2,1,1
1.6e-07,8,250,1000,6,True,0.7842167821225817,4,4,[0.95571119 4.0388604 ] [3.93542317 1.06178813] [3.94917436 4.02662289] [0.94955085 1.08906114],[2.36095728e-01 2.55037722e-01 2.58065823e-01 2.50800726e-01 1.58688978e-10 2.53902328e-17],[[0.65663191 0.04191801]  [0.04191801 0.8336595 ]] [[0.76149688 0.06705867]  [0.06705867 0.86824071]] [[0.79242321 0.07090532]  [0.07090532 0.88733179]] [[0.70113621 0.0766519 ]  [0.0766519  0.94497085]],4,"{0: 239, 1: 252, 2: 259, 3: 250, 4: 0, 5: 0}",2,1,1
1.6e-07,9,250,1000,6,True,0.7634177355009089,4,4,[1.00958532 4.21946049] [4.0289558  1.25998651] [4.00136668 4.24881534] [1.01299904 1.21173785],[2.34817464e-01 2.75813182e-01 2.19961341e-01 2.69408012e-01 1.58720349e-10 2.53952521e-17],[[0.7414025  0.06735065]  [0.06735065 0.68049407]] [[0.66639257 0.07523105]  [0.07523105 1.054264  ]] [[0.70178774 0.10503573]  [0.10503573 0.67401203]] [[0.65278308 0.07705917]  [0.07705917 0.95003621]],4,"{0: 231, 1: 273, 2: 225, 3: 271, 4: 0, 5: 0}",2,1,1
1.6e-07,10,250,1000,6,True,0.7817479898782322,4,4,[3.98196962 1.04808042] [1.01298364 1.06712701] [3.98580267 4.01630366] [1.01615429 4.02622714],[0.00107712 0.25879862 0.22410387 0.29040003 0.00106463 0.22455573],[[0.90887006 0.00449349]  [0.00449349 0.67423888]] [[ 0.61328543 -0.00363285]  [-0.00363285  0.73843124]] [[0.98846213 0.02138591]  [0.02138591 0.85803707]] [[ 0.57098491 -0.03233265]  [-0.03233265  0.78626644]],6,"{0: 0, 1: 254, 2: 228, 3: 284, 4: 0, 5: 234}",2,1,1
1.6e-07,11,250,1000,6,True,0.8006503526187358,4,4,[4.05132255 3.91146127] [1.01836741 0.91583451] [1.06684154 3.91717833] [4.01456436 0.92297373],[2.42281635e-01 2.48708396e-01 2.77814486e-01 2.31195482e-01 1.58634187e-10 2.53814662e-17],[[0.60945049 0.08700261]  [0.08700261 0.78828094]] [[0.74324339 0.04959225]  [0.04959225 0.60951684]] [[0.85857086 0.03257842]  [0.03257842 0.77125951]] [[0.60627666 0.05819255]  [0.05819255 0.66989939]],4,"{0: 243, 1: 249, 2: 275, 3: 233, 4: 0, 5: 0}",2,1,1
1.6e-07,12,250,1000,6,True,0.7939540934750948,4,4,[3.86029413 3.96450322] [0.89543263 0.98832281] [0.89000956 3.9956942 ] [3.86371941 0.95081821],[2.84619912e-01 2.32515346e-01 1.06947544e-03 2.31057431e-01 2.50737836e-01 1.58332321e-10],[[ 0.89384593 -0.0467346 ]  [-0.0467346   0.82779181]] [[ 0.62723461 -0.04775073]  [-0.04775073  0.64810815]] [[ 0.59002093 -0.06698121]  [-0.06698121  0.67483748]] [[ 0.8344231  -0.05897687]  [-0.05897687  0.59546364]],5,"{0: 277, 1: 234, 2: 0, 3: 234, 4: 255, 5: 0}",2,1,1
1.6e-07,13,250,1000,6,True,0.7517998813725025,4,4,[1.02143537 3.97401224] [3.91133711 0.96528538] [4.00075158 4.05108393] [0.98782557 1.0175891 ],[2.66854073e-01 2.81988557e-01 2.15849700e-01 2.35307669e-01 1.58599504e-10 2.53759169e-17],[[0.90524044 0.23729071]  [0.23729071 0.86904016]] [[1.01623902 0.37656872]  [0.37656872 1.11155718]] [[0.67218998 0.25882345]  [0.25882345 0.66571649]] [[0.80158254 0.30165728]  [0.30165728 0.66736455]],4,"{0: 258, 1: 275, 2: 222, 3: 245, 4: 0, 5: 0}",2,1,1
1.6e-07,14,250,1000,6,True,0.8226805739466848,4,4,[3.81033686 1.00088844] [0.94562701 3.98854608] [0.84003408 1.01869326] [3.92620328 3.98249652],[2.68244796e-01 2.47200360e-01 2.40366790e-01 1.06523089e-03 2.43122823e-01 1.58003027e-10],[[0.76111518 0.06814957]  [0.06814957 0.85079072]] [[0.63950943 0.04349802]  [0.04349802 0.77491949]] [[0.56470531 0.09596066]  [0.09596066 0.84791045]] [[0.64126641 0.05654726]  [0.05654726 0.76920255]],5,"{0: 264, 1: 248, 2: 242, 3: 0, 4: 246, 5: 0}",2,1,1
